name,synonyms,category,status_general,risk_level,risk_notes,allergen_flags,diet_tags,environmental_notes,evidence_grade,jurisdiction_status,typical_use,source_citations,last_reviewed,avoid_if
Molasses,,Sweetener,Approved,Low,—,None,vegan,—,B,Approved widely,Flavor; color,FDA; EFSA; USDA; PubChem,2025-08-20,None
Natural Flavors,Natural flavor,Flavoring,Approved,Low,Catch‑all; composition varies,None,vegan,—,C,Approved widely,Beverages; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Artificial Flavors,Artificial flavor,Flavoring,Approved,Moderate,May contain solvents/carriers,None,vegan,Petrochemical origin,C,Approved with limits,Confectionery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Caramel Color,E150a‑d,Color Additive,Approved,Moderate,Some classes can contain 4‑MEI by‑product,None,vegan,—,B,Approved with limits,Colas; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Citric Acid,E330,Acidulant,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; candy; canning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Phosphoric Acid,E338,Acidulant,Approved,Moderate,Excess phosphorus may affect bone health,None,vegan,Phosphate mining impact,B,Approved with limits,Colas; processed cheese,FDA; EFSA; USDA; PubChem,2025-08-20,None
Monosodium Glutamate,MSG; E621,Flavor Enhancer,Approved,Moderate,Sensitive individuals report symptoms,None,vegan,—,B,Approved with limits,Snacks; soups; seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Disodium Inosinate,IMP; E631,Flavor Enhancer,Approved,Low,Synergist with MSG,Fish,vegan,—,B,Approved with limits,Snacks; soups,FDA; EFSA; USDA; PubChem,2025-08-20,"Fish allergy, High blood pressure, Kidney disease"
Disodium Guanylate,GMP; E627,Flavor Enhancer,Approved,Low,Synergist with MSG,None,vegan,—,B,Approved with limits,Snacks; soups,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Yeast Extract,Autolyzed yeast,Flavor Enhancer,Approved,Low,Contains free glutamates,None,vegan,—,B,Approved widely,Soups; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Hydrolyzed Vegetable Protein,HVP,Flavor Enhancer,Approved,Moderate,Contains free glutamates,Soy,vegan,—,B,Approved widely,Seasonings,FDA; EFSA; USDA; PubChem,2025-08-20,Soy allergy
Sodium Nitrite,E250,Preservative,Approved,High,Can form nitrosamines in cured meats,None,vegan,Water contamination risk,B,Restricted use,Processed meats,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Nitrate,E251,Preservative,Approved,Moderate,Precursor to nitrite,None,vegan,—,B,Restricted use,Cured meats,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Sorbate,E202,Preservative,Approved,Low,—,None,vegan,—,A,Approved widely,Bakery; dairy; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbic Acid,E200,Preservative,Approved,Low,—,None,vegan,—,A,Approved widely,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Benzoate,E211,Preservative,Approved,Moderate,Can form benzene with vitamin C,None,vegan,—,B,Approved with limits,Soft drinks; condiments,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Benzoate,E212,Preservative,Approved,Moderate,Can form benzene with vitamin C,None,vegan,—,B,Approved with limits,Beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Propionate,E282,Preservative,Approved,Moderate,May cause off‑flavors; rare sensitivities,None,vegan,—,B,Approved widely,Bread; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
BHA,Butylated hydroxyanisole; E320,Antioxidant,Approved,High,Classified as possible carcinogen in some reviews,None,vegan,Petrochemical origin,B,Restricted in some jurisdictions,Snacks; fats,FDA; EFSA; USDA; PubChem,2025-08-20,None
BHT,Butylated hydroxytoluene; E321,Antioxidant,Approved,Moderate,Endocrine disruption concerns debated,None,vegan,Petrochemical origin,B,Restricted in some jurisdictions,Snacks; fats,FDA; EFSA; USDA; PubChem,2025-08-20,None
TBHQ,Tertiary‑butylhydroquinone; E319,Antioxidant,Approved,Moderate,High doses cause GI/neurological effects in studies,None,vegan,Petrochemical origin,B,Approved with limits,Frying oils; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
EDTA (Calcium Disodium),E385,Stabilizer,Approved,Low,—,None,vegan,—,A,Approved with limits,Dressings; canned foods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Titanium Dioxide,E171,Color Additive,Restricted,Moderate,Restricted in EU; particle safety debated,None,vegan,Nanoparticle accumulation concern,C,Restricted in some jurisdictions,Confectionery; frostings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Red 40,Allura Red AC; E129,Color Additive,Approved,Moderate,Hyperactivity concerns in children debated,None,vegan,Petrochemical origin,B,Approved with limits,Beverages; candy,FDA; EFSA; USDA; PubChem,2025-08-20,None
Yellow 5,Tartrazine; E102,Color Additive,Approved,Moderate,Hypersensitivity in some individuals,None,vegan,Petrochemical origin,B,Approved with limits,Beverages; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Yellow 6,Sunset Yellow FCF; E110,Color Additive,Approved,Moderate,Hypersensitivity in some individuals,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery; cereals,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blue 1,Brilliant Blue FCF; E133,Color Additive,Approved,Low,—,None,vegan,Petrochemical origin,B,Approved with limits,Beverages; candy,FDA; EFSA; USDA; PubChem,2025-08-20,None
Blue 2,Indigotine; E132,Color Additive,Approved,Low,—,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Green 3,Fast Green FCF; E143,Color Additive,Approved,Low,—,None,vegan,Petrochemical origin,B,Approved with limits,Confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carotene,Beta‑carotene; E160a,Color Additive,Approved,Low,—,None,vegan,—,A,Approved widely,Margarine; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Annatto,Bixin/Norbixin; E160b,Color Additive,Approved,Low,Rare allergies reported,None,vegan,—,B,Approved widely,Cheese; snacks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Paprika Extract,Capsanthin; E160c,Color Additive,Approved,Low,—,None,vegan,—,A,Approved widely,Snacks; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carminic Acid,Cochineal; Carmine; E120,Color Additive,Approved,Moderate,Allergy risk; insect‑derived,None,non‑vegan,Insect harvesting,B,Approved with labeling,Yogurts; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sucralose,E955,Sweetener,Approved,Moderate,Altered gut microbiota discussed,None,vegan,—,B,Approved with limits,Diet beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acesulfame Potassium,Ace‑K; E950,Sweetener,Approved,Moderate,Sweetener synergy; safety debated,None,vegan,—,B,Approved with limits,Diet beverages; desserts,FDA; EFSA; USDA; PubChem,2025-08-20,None
Aspartame,E951,Sweetener,Approved,Moderate,Individuals with PKU must avoid,None,vegan,—,B,Approved with limits,Diet sodas; gum,FDA; EFSA; USDA; PubChem,2025-08-20,Phenylketonuria (PKU)
Saccharin,E954,Sweetener,Approved,Moderate,Bladder tumor findings in old studies; consensus evolved,None,vegan,—,B,Approved with limits,Tabletop sweeteners,FDA; EFSA; USDA; PubChem,2025-08-20,None
Steviol Glycosides,Stevia; E960,Sweetener,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages; tabletop,FDA; EFSA; USDA; PubChem,2025-08-20,None
Erythritol,E968,Sweetener,Approved,Low,Excess may cause GI discomfort,None,vegan,—,A,Approved widely,Sugar‑free confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Xylitol,E967,Sweetener,Approved,Low,Large doses cause GI upset; toxic to dogs,None,vegan,—,A,Approved widely,Sugar‑free gum,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sorbitol,E420,Sweetener,Approved,Low,Laxative effect in excess,None,vegan,—,A,Approved widely,Chewing gum; candies,FDA; EFSA; USDA; PubChem,2025-08-20,None
Maltitol,E965,Sweetener,Approved,Low,Laxative effect in excess,None,vegan,—,A,Approved widely,Sugar‑free chocolates,FDA; EFSA; USDA; PubChem,2025-08-20,None
Isomalt,E953,Sweetener,Approved,Low,Laxative effect in excess,None,vegan,—,A,Approved widely,Sugar‑free candies,FDA; EFSA; USDA; PubChem,2025-08-20,None
Monoglycerides and Diglycerides,E471,Emulsifier,Approved,Moderate,May contain trans fats if poorly processed,None,vegetarian,Palm oil deforestation risk,B,Approved widely,Breads; ice cream,FDA; EFSA; USDA; PubChem,2025-08-20,None
Soy Lecithin,E322,Emulsifier,Approved,Low,Allergen for soy‑sensitive,Soy,vegan,Soy monoculture footprint,A,Approved widely,Chocolate; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,Soy allergy
Sunflower Lecithin,,Emulsifier,Approved,Low,—,None,vegan,—,A,Approved widely,Chocolate; nutrition bars,FDA; EFSA; USDA; PubChem,2025-08-20,None
Polysorbate 80,E433,Emulsifier,Approved,Moderate,May alter gut barrier at high doses (animal data),None,vegan,—,B,Approved with limits,Ice cream; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Polysorbate 60,E435,Emulsifier,Approved,Moderate,Similar concerns as E433,None,vegan,—,B,Approved with limits,Whipped toppings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Stearoyl Lactylate,SSL; E481,Emulsifier,Approved,Low,—,Milk,vegetarian,—,A,Approved widely,Bread; dough conditioner,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Calcium Stearoyl Lactylate,CSL; E482,Emulsifier,Approved,Low,—,Milk,vegetarian,—,A,Approved widely,Bread; tortillas,FDA; EFSA; USDA; PubChem,2025-08-20,None
DATEM,E472e,Emulsifier,Approved,Low,—,None,vegetarian,—,A,Approved widely,Bread; pastries,FDA; EFSA; USDA; PubChem,2025-08-20,None
Propylene Glycol Alginate,PGA; E405,Stabilizer,Approved,Low,—,None,vegan,—,A,Approved widely,Sauces; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Xanthan Gum,E415,Thickener,Approved,Low,May cause bloating in excess,None,vegan,—,A,Approved widely,Sauces; gluten‑free bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Guar Gum,E412,Thickener,Approved,Low,—,None,vegan,—,A,Approved widely,Sauces; ice cream,FDA; EFSA; USDA; PubChem,2025-08-20,None
Locust Bean Gum,Carob gum; E410,Thickener,Approved,Low,—,None,vegan,—,A,Approved widely,Ice cream; cream cheese,FDA; EFSA; USDA; PubChem,2025-08-20,None
Gellan Gum,E418,Thickener,Approved,Low,—,None,vegan,—,A,Approved widely,Desserts; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carrageenan,E407,Thickener,Approved,Moderate,Inflammation concerns debated,None,vegan,Seaweed harvesting,B,Approved with limits,Dairy; plant milks,FDA; EFSA; USDA; PubChem,2025-08-20,Inflammatory conditions
Agar,Agar‑agar; E406,Thickener,Approved,Low,—,None,vegan,Seaweed harvesting,A,Approved widely,Desserts; gels,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pectin,E440,Thickener,Approved,Low,—,None,vegan,—,A,Approved widely,Jams; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Modified Food Starch,E1400‑E1451,Thickener,Approved,Low,—,None,vegan,—,A,Approved widely,Soups; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Microcrystalline Cellulose,MCC; E460(i),Bulking Agent,Approved,Low,—,None,vegan,—,A,Approved widely,Tablets; foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carboxymethyl Cellulose,CMC; E466,Thickener,Approved,Moderate,Gut barrier concerns debated,None,vegan,—,B,Approved with limits,Ice cream; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Ascorbic Acid,Vitamin C; E300,Antioxidant,Approved,Low,—,None,vegan,—,A,Approved widely,Bakery; meats,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Ascorbate,E301,Antioxidant,Approved,Low,—,None,vegan,—,A,Approved widely,Meats; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Citrate,E331,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Processed cheese; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Citrate,E332,Buffer,Approved,Low,—,None,vegan,—,A,Approved widely,Beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Carbonate,E170,Mineral,Approved,Low,—,None,vegan,Mining impact,A,Approved widely,Fortification; anticaking,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Bicarbonate,Baking soda; E500(ii),Leavening,Approved,Low,—,None,vegan,—,A,Approved widely,Baked goods,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Ammonium Bicarbonate,E503,Leavening,Approved,Low,—,None,vegan,—,A,Approved widely,Cookies; crackers,FDA; EFSA; USDA; PubChem,2025-08-20,None
Monocalcium Phosphate,E341(i),Leavening,Approved,Low,—,None,vegan,Phosphate mining,A,Approved widely,Baking powder,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Acid Pyrophosphate,SAPP; E450(i),Leavening,Approved,Low,—,None,vegan,Phosphate mining,A,Approved widely,Baking powder,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Aluminum Phosphate,SALP; E541,Leavening,Approved,Moderate,Aluminum exposure concerns debated,None,vegan,Mining impact,B,Approved with limits,Baking powder,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Azodicarbonamide,ADA,Dough Conditioner,Restricted,High,Respiratory sensitizer; restricted/banned in several regions,None,vegan,—,B,Restricted/banned in some jurisdictions,Flour bleaching; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Potassium Bromate,,Dough Conditioner,Restricted,High,Carcinogenic concerns; banned in many regions,None,vegan,—,A,Restricted/banned in some jurisdictions,Bread improver,FDA; EFSA; USDA; PubChem,2025-08-20,None
Calcium Peroxide,,Dough Conditioner,Approved,Moderate,Oxidizing agent; use‑level limited,None,vegan,—,B,Approved with limits,Flour treatment,FDA; EFSA; USDA; PubChem,2025-08-20,None
Benzoyl Peroxide,,Flour Treatment,Approved,Moderate,Oxidizing agent; use‑level limited,None,vegan,—,B,Approved with limits,Flour bleaching,FDA; EFSA; USDA; PubChem,2025-08-20,None
Enriched Wheat Flour,Bleached enriched wheat flour,Cereal,Approved,Moderate,Contains gluten; refined carbs,Wheat/Gluten,vegetarian,—,A,Approved widely,Breads; pastries,FDA; EFSA; USDA; PubChem,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Bleached Wheat Flour,,Cereal,Approved,Moderate,Contains gluten,Wheat/Gluten,vegetarian,—,A,Approved widely,Bakery,FDA; EFSA; USDA; PubChem,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Whole Wheat Flour,,Cereal,Approved,Low,Contains gluten,Wheat/Gluten,vegetarian,—,A,Approved widely,Bakery,FDA; EFSA; USDA; PubChem,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Corn Starch,,Starch,Approved,Low,—,None,vegan,—,A,Approved widely,Thickening; coatings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Potato Starch,,Starch,Approved,Low,—,None,vegan,—,A,Approved widely,Thickening,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tapioca Starch,,Starch,Approved,Low,—,None,vegan,—,A,Approved widely,Thickening; gluten‑free,FDA; EFSA; USDA; PubChem,2025-08-20,None
Rice Flour,,Cereal,Approved,Low,—,None,vegan,—,A,Approved widely,Gluten‑free bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Vital Wheat Gluten,,Protein,Approved,Moderate,Gluten allergen,Wheat/Gluten,vegetarian,—,A,Approved widely,Dough strengthener,FDA; EFSA; USDA; PubChem,2025-08-20,"Celiac disease, Gluten sensitivity, Wheat allergy"
Whey Protein Concentrate,WPC,Protein,Approved,Low,Contains lactose proteins,Milk,vegetarian,Dairy footprint,A,Approved widely,Bars; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Whey Protein Isolate,WPI,Protein,Approved,Low,—,Milk,vegetarian,Dairy footprint,A,Approved widely,Sports nutrition,FDA; EFSA; USDA; PubChem,2025-08-20,None
Casein,,Protein,Approved,Low,—,Milk,vegetarian,Dairy footprint,A,Approved widely,Cheese; processed foods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Caseinate,,Protein,Approved,Low,—,Milk,vegetarian,Dairy footprint,A,Approved widely,Coffee whiteners; processed meats,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Gelatin,,Gelling Agent,Approved,Moderate,Animal‑derived,None,non‑vegan,Livestock footprint,A,Approved widely,Gummies; marshmallows,FDA; EFSA; USDA; PubChem,2025-08-20,None
Pea Protein,,Protein,Approved,Low,—,None,vegan,Legume agriculture footprint,A,Approved widely,Meat analogues; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Soy Protein Isolate,SPI,Protein,Approved,Low,Allergen for soy‑sensitive,Soy,vegan,Soy agriculture footprint,A,Approved widely,Meat analogues; bars,FDA; EFSA; USDA; PubChem,2025-08-20,Soy allergy
Lecithin (Egg),,Emulsifier,Approved,Low,Egg allergen,Eggs,vegetarian,—,A,Approved widely,Bakery; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,Egg allergy
Whole Milk Powder,,Dairy,Approved,Low,Milk allergen,Milk,vegetarian,Dairy footprint,A,Approved widely,Powdered mixes; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Skim Milk Powder,,Dairy,Approved,Low,Milk allergen,Milk,vegetarian,Dairy footprint,A,Approved widely,Bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lactose,,Carbohydrate,Approved,Low,—,Milk,vegetarian,Dairy footprint,A,Approved widely,Processed meats; baked goods,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cheese Cultures,,Culture,Approved,Low,—,Milk,vegetarian,—,A,Approved widely,Cheese; sauces,FDA; EFSA; USDA; PubChem,2025-08-20,None
Sodium Phosphate,E339,Emulsifying Salt,Approved,Low,—,None,vegan,Phosphate mining,A,Approved widely,Processed cheese; meats,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Erythorbate,E316,Antioxidant,Approved,Low,—,None,vegan,—,A,Approved widely,Cured meats,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Sodium Lactate,E325,Preservative,Approved,Low,—,None,vegan,—,A,Approved widely,Meats; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"High blood pressure, Kidney disease"
Potassium Lactate,E326,Preservative,Approved,Low,—,None,vegan,—,A,Approved widely,Meats,FDA; EFSA; USDA; PubChem,2025-08-20,None
Smoke Flavor,Liquid smoke,Flavoring,Approved,Moderate,May contain PAHs if over‑concentrated,None,vegan,Wood sourcing,B,Approved with limits,BBQ sauces; meats,FDA; EFSA; USDA; PubChem,2025-08-20,None
Caffeine,,Stimulant,Approved,Moderate,High doses cause jitters; sleep disruption,None,vegan,—,A,Approved with limits,Beverages; energy drinks,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carbon Dioxide,,Gas,Approved,Low,—,None,vegan,—,A,Approved widely,Carbonation,FDA; EFSA; USDA; PubChem,2025-08-20,None
Nitrogen,,Gas,Approved,Low,—,None,vegan,—,A,Approved widely,Nitro beverages; packaging,FDA; EFSA; USDA; PubChem,2025-08-20,None
Shellac,Confectioner's glaze; E904,Glazing Agent,Approved,Moderate,Insect‑derived,None,non‑vegan,—,B,Approved with labeling,Panned candy; coatings,FDA; EFSA; USDA; PubChem,2025-08-20,None
Carnauba Wax,E903,Glazing Agent,Approved,Low,—,None,vegan,Palm-like plantation concerns,A,Approved widely,Candy coatings; fruit wax,FDA; EFSA; USDA; PubChem,2025-08-20,None
Beeswax,E901,Glazing Agent,Approved,Low,Insect‑derived,None,non‑vegan,—,A,Approved widely,Coatings; bakery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Cane Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Beet Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Powdered Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Confectioners' Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Coconut Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Palm Sugar,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Agave Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Rice Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Barley Malt Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Maple Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Honey,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Date Syrup,,Sweetener,Approved,Moderate,High glycemic load,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sweetening; bakery; beverages,FDA; EFSA; USDA; PubChem,2025-08-20,"Diabetes, Insulin resistance"
Lactitol,,Sweetener,Approved,Low,Laxative effect in excess,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sugar‑free products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Mannitol,,Sweetener,Approved,Low,Laxative effect in excess,None,vegan,Low direct impact,A,Approved in many jurisdictions,Sugar‑free products,FDA; EFSA; USDA; PubChem,2025-08-20,None
Malic Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Tartaric Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Lactic Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Fumaric Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Glucono Delta‑Lactone,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Acetic Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Adipic Acid,,Acidulant,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; candies; dough conditioning,FDA; EFSA; USDA; PubChem,2025-08-20,None
Red 3,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Citrus Red 2,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
Brilliant Black PN,,Color Additive,Approved,Low,—,None,vegan,Low direct impact,A,Approved in many jurisdictions,Beverages; confectionery,FDA; EFSA; USDA; PubChem,2025-08-20,None
